
  186.0187 -2.485 23.00     323.460  3.5 d3s2 a4F     54081.510  4.5 r2H         7.58 -4.67 -7.39K88  0 0  0 0.000 50-2.602    0    0      0    1238  941     0
  186.2250 -2.929 23.00     552.960  4.5 d3s2 a4F     54251.450  5.5 r2H         7.36 -4.78 -7.44K88  0 0  0 0.000 50-2.602    0    0      0    1334 1189     0
  186.8162 -3.737 23.00     552.960  4.5 d3s2 a4F     54081.510  4.5 r2H         7.58 -4.67 -7.39K88  0 0  0 0.000 50-2.602    0    0      0    1334  941     0
  189.9815 -4.345 23.00     137.380  2.5 d3s2 a4F     52774.090  3.5 p2G         8.40 -5.69 -7.75K88  0 0  0 0.000 50-2.602    0    0      0    1028  890     0
  190.0256 -3.797 23.00     323.460  3.5 d3s2 a4F     52947.960  4.5 p2G         8.38 -5.24 -7.69K88  0 0  0 0.000 50-2.602    0    0      0    1238 1114     0
  190.6555 -3.705 23.00     323.460  3.5 d3s2 a4F     52774.090  3.5 p2G         8.40 -5.69 -7.75K88  0 0  0 0.000 50-2.602    0    0      0    1238  890     0
  190.8579 -2.736 23.00     552.960  4.5 d3s2 a4F     52947.960  4.5 p2G         8.38 -5.24 -7.69K88  0 0  0 0.000 50-2.602    0    0      0    1334 1114     0
  191.4934 -4.300 23.00     552.960  4.5 d3s2 a4F     52774.090  3.5 p2G         8.40 -5.69 -7.75K88  0 0  0 0.000 50-2.602    0    0      0    1334  890     0
  192.9356 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-1.025 50-2.602  -75    0F4 -4z0     398 1198     0
  192.9356 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-1.009 50-2.602  -75    0F4 -5z0     398 1198     0
  192.9358 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-1.009 50-2.602  -35    0F5 -4z0     398 1198     0
  192.9358 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-2.570 50-2.602  -35    0F5 -5z0     398 1198     0
  192.9358 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-0.885 50-2.602  -35    0F5 -6z0     398 1198     0
  192.9359 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-0.885 50-2.602   11    0F6 -5z0     398 1198     0
  192.9359 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-1.392 50-2.602   11    0F6 -6z0     398 1198     0
  192.9359 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-1.007 50-2.602   11    0F6 -7z0     398 1198     0
  192.9361 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-1.007 50-2.602   64    0F7 -6z0     398 1198     0
  192.9361 -1.907 23.00       0.000  1.5 d3s2 a4F     51830.690  1.5 32odd       7.84 -4.40 -7.13K88  0 0 50-0.679 50-2.602   64    0F7 -7z0     398 1198     0
